blues|11.428571428571429|3.4992710611188262|0.3061862178478973
something|9.0|1.0|0.1111111111111111
bus|9.0|1.0|0.1111111111111111
john|8.0|0.0|0.0
call|12.0|4.320493798938574|0.36004114991154784
documentation|12.0|4.320493798938574|0.36004114991154784
details|7.0|3.0|0.42857142857142855
university|7.0|3.0|0.42857142857142855
april|7.0|3.0|0.42857142857142855
system|10.666666666666666|4.109609335312651|0.38527587518556106
availability|8.0|2.6186146828319083|0.32732683535398854
wayne|6.0|0.0|0.0
control|6.0|0.0|0.0
power|6.857142857142857|2.799416848895061|0.4082482904638631
office|6.857142857142857|4.2570469787860965|0.6208193510729725
use|5.0|1.0|0.2
circuit|5.0|3.0|0.6
projects|16.0|3.4641016151377544|0.21650635094610965
desonia|8.0|3.265986323710904|0.408248290463863
machine|4.0|2.0|0.5
chip|4.0|0.0|0.0
protection|4.0|0.0|0.0
mais|10.0|0.0|0.0
output|10.0|0.0|0.0
reference|10.0|0.0|0.0
penny|10.0|0.0|0.0
radar|10.0|0.0|0.0
rmx|10.0|0.0|0.0
martin|10.0|0.0|0.0
self|10.0|0.0|0.0
eplds|10.0|0.0|0.0
bell|10.0|0.0|0.0
degrees|10.0|0.0|0.0
information|10.0|0.0|0.0
isolated|10.0|0.0|0.0
time|10.0|0.0|0.0
scopes|10.0|0.0|0.0
string|10.0|0.0|0.0
hands|10.0|0.0|0.0
lecturer|10.0|0.0|0.0
u|10.0|0.0|0.0
stephens|10.0|0.0|0.0
correction|10.0|0.0|0.0
buses|10.0|0.0|0.0
hv|10.0|0.0|0.0
wire|10.0|0.0|0.0
dram|10.0|0.0|0.0
industries|10.0|0.0|0.0
eff|4.0|1.632993161855452|0.408248290463863
blakey|8.5|2.598076211353316|0.305656024865096
je|8.0|0.0|0.0
purposes|8.0|0.0|0.0
giles|8.0|0.0|0.0
word|8.0|0.0|0.0
transformers|8.0|0.0|0.0
sounds|8.0|0.0|0.0
buns|8.0|0.0|0.0
calabration|8.0|0.0|0.0
site|8.0|0.0|0.0
advance|8.0|0.0|0.0
lap|8.0|0.0|0.0
pc|8.0|0.0|0.0
louisville|8.0|0.0|0.0
rogers|8.0|0.0|0.0
flea|8.0|0.0|0.0
students|8.0|0.0|0.0
brightness|8.0|0.0|0.0
research|8.0|0.0|0.0
radio|8.0|0.0|0.0
subdirectories|8.0|0.0|0.0
glinos|8.0|0.0|0.0
model|8.0|0.0|0.0
sources|8.0|0.0|0.0
parts|8.0|0.0|0.0
controller|8.0|0.0|0.0
radios|8.0|0.0|0.0
communication|6.0|0.0|0.0
software|6.0|0.0|0.0
everything|6.0|0.0|0.0
ability|6.0|0.0|0.0
murder|6.0|0.0|0.0
chains|6.0|0.0|0.0
caps|6.0|0.0|0.0
someone|6.0|0.0|0.0
data|6.0|0.0|0.0
views|6.0|0.0|0.0
australia|6.0|0.0|0.0
signal|6.0|0.0|0.0
mit|6.0|0.0|0.0
bulbs|6.0|0.0|0.0
guns|6.0|0.0|0.0
fyzzicks|6.0|0.0|0.0
hook|6.0|0.0|0.0
pads|6.0|0.0|0.0
guide|6.0|0.0|0.0
georgia|6.0|0.0|0.0
equipment|6.0|0.0|0.0
thing|6.0|0.0|0.0
mon|6.0|0.0|0.0
tube|6.0|0.0|0.0
base|6.0|0.0|0.0
lights|6.0|0.0|0.0
jet|10.0|0.0|0.0
plans|5.0|1.7320508075688772|0.34641016151377546
habit|8.0|0.0|0.0
thompson|4.0|0.0|0.0
hope|4.0|0.0|0.0
notation|4.0|0.0|0.0
theunissen|4.0|0.0|0.0
skill|4.0|0.0|0.0
c|4.0|0.0|0.0
show|4.0|0.0|0.0
anything|4.0|0.0|0.0
tomorrow|4.0|0.0|0.0
tesla|4.0|0.0|0.0
xmas|4.0|0.0|0.0
breadboards|4.0|0.0|0.0
indicators|4.0|0.0|0.0
schematics|4.0|0.0|0.0
crystal|4.0|0.0|0.0
line|4.0|0.0|0.0
covington|4.0|0.0|0.0
god|4.0|0.0|0.0
airplane|6.0|0.0|0.0
chance|2.0|0.0|0.0
transistors|2.0|0.0|0.0
folks|2.0|0.0|0.0
mark|2.0|0.0|0.0
bull|2.0|0.0|0.0
snow|2.0|0.0|0.0
today|2.0|0.0|0.0
rumors|2.0|0.0|0.0
first|2.0|0.0|0.0
timer|2.0|0.0|0.0
soh|2.0|0.0|0.0
goldmine|2.0|0.0|0.0
laird|2.0|0.0|0.0
unit|2.0|0.0|0.0
methods|2.0|0.0|0.0
jack|2.0|0.0|0.0
original|2.0|0.0|0.0
button|2.0|0.0|0.0
rtn|2.0|0.0|0.0
bit|2.0|0.0|0.0
trouble|2.0|0.0|0.0
circuits|2.0|0.0|0.0
chris|2.0|0.0|0.0
interface|2.0|0.0|0.0
quartz|2.0|0.0|0.0
project|2.0|0.0|0.0
smtp|2.0|0.0|0.0
capacitors|2.0|0.0|0.0
people|2.0|0.0|0.0
cars|2.0|0.0|0.0
things|10.0|0.0|0.0
knots|4.0|0.0|0.0
aftershave|8.0|0.0|0.0
nz|6.0|0.0|0.0
